Date,Amzn_Close,AMZN_Return
16/05/2011,192.51,-4.96
17/05/2011,194.81,1.19
18/05/2011,197.09,1.17
19/05/2011,198.8,0.87
20/05/2011,198.65,-0.08
23/05/2011,196.22,-1.22
24/05/2011,193.27,-1.5
25/05/2011,192.26,-0.52
26/05/2011,195,1.43
27/05/2011,194.13,-0.45
31/05/2011,196.69,1.32
01/06/2011,192.4,-2.18
02/06/2011,193.65,0.65
03/06/2011,188.32,-2.75
06/06/2011,185.69,-1.4
07/06/2011,187.55,1
08/06/2011,188.05,0.27
09/06/2011,189.68,0.87
10/06/2011,186.53,-1.66
13/06/2011,186.29,-0.13
14/06/2011,189.96,1.97
15/06/2011,185.98,-2.1
16/06/2011,183.65,-1.25
17/06/2011,186.37,1.48
20/06/2011,187.72,0.72
21/06/2011,194.23,3.47
22/06/2011,191.63,-1.34
23/06/2011,194.16,1.32
24/06/2011,192.55,-0.83
27/06/2011,201.25,4.52
28/06/2011,202.35,0.55
29/06/2011,204.18,0.9
30/06/2011,204.49,0.15
01/07/2011,209.49,2.45
05/07/2011,213.19,1.77
06/07/2011,214.19,0.47
07/07/2011,216.74,1.19
08/07/2011,218.28,0.71
11/07/2011,212.55,-2.63
12/07/2011,211.23,-0.62
13/07/2011,213.5,1.07
14/07/2011,210.38,-1.46
15/07/2011,212.87,1.18
18/07/2011,211.53,-0.63
19/07/2011,218.06,3.09
20/07/2011,215.55,-1.15
21/07/2011,213.21,-1.09
22/07/2011,216.52,1.55
25/07/2011,213.49,-1.4
26/07/2011,214.18,0.32
27/07/2011,222.52,3.89
28/07/2011,223.9,0.62
29/07/2011,222.52,-0.62
01/08/2011,221.32,-0.54
02/08/2011,211.7,-4.35
03/08/2011,209.96,-0.82
04/08/2011,201.48,-4.04
05/08/2011,202.7,0.61
08/08/2011,193.7,-4.44
09/08/2011,205.09,5.88
10/08/2011,194.13,-5.34
11/08/2011,198.36,2.18
12/08/2011,202.3,1.99
15/08/2011,202.95,0.32
16/08/2011,197.68,-2.6
17/08/2011,195.93,-0.89
18/08/2011,182.52,-6.84
19/08/2011,178.93,-1.97
22/08/2011,177.54,-0.78
23/08/2011,193.55,9.02
24/08/2011,193.73,0.09
25/08/2011,192.03,-0.88
26/08/2011,199.27,3.77
29/08/2011,206.53,3.64
30/08/2011,210.92,2.13
31/08/2011,215.23,2.04
01/09/2011,212.54,-1.25
02/09/2011,210,-1.2
06/09/2011,216.18,2.94
07/09/2011,219.9,1.72
08/09/2011,217.26,-1.2
09/09/2011,211.39,-2.7
12/09/2011,216.56,2.45
13/09/2011,219.53,1.37
14/09/2011,222.57,1.38
15/09/2011,226.78,1.89
16/09/2011,239.3,5.52
19/09/2011,241.69,1
20/09/2011,233.25,-3.49
21/09/2011,231.87,-0.59
22/09/2011,223.23,-3.73
23/09/2011,223.61,0.17
26/09/2011,229.85,2.79
27/09/2011,224.21,-2.45
28/09/2011,229.71,2.45
29/09/2011,222.44,-3.16
30/09/2011,216.23,-2.79
03/10/2011,211.98,-1.97
