country,population,gdppc,lifeexp
United Arab Emirates,9.630959,66.96826985488919,77.814
Afghanistan,37.172386,2.19024032132044,64.486
Antigua and Barbuda,0.096286,21.1157982687308,76.885
Albania,2.866376,13.6013033805754,78.458
Armenia,2.951776,12.714958187558599,74.945
Angola,30.809762,6.93350930820608,60.782
Argentina,44.494502,22.7459037844103,76.52
Austria,8.840521,55.6871892771302,81.6926829268293
Australia,24.982688,49.575981131221,82.7487804878049
Azerbaijan,9.939771,14.2096494059309,72.864
Bosnia and Herzegovina,3.323929,14.419634470855401,77.262
Barbados,0.286641,15.674849634764199,79.081
Bangladesh,161.356039,4.44142350607517,72.32
Belgium,11.427054,51.245996223465596,81.5951219512195
Burkina Faso,19.751535,2.1315479011667398,61.174
Bulgaria,7.025037,22.181496811059002,74.9634146341464
Bahrain,1.569439,46.2423150198831,77.163
Burundi,11.175378,0.761524193384446,61.247
Benin,11.485048,3.1607770925266,61.47
Brunei Darussalam,0.428962,60.388903087658505,75.722
Bolivia,11.353142,8.655529886300458,71.239
Brazil,209.469333,14.5962461623842,75.672
"Bahamas, The",0.38564,35.5005441974506,73.752
Bhutan,0.754394,11.345444925756698,71.46
