Date,EUR
2001. july 19.,249.8
2001. july 20.,249.01
2001. july 23.,247.88
2001. july 24.,247.03
2001. july 25.,246.27
2001. july 26.,247.64
2001. july 27.,247.69
2001. july 30.,246.88
2001. july 31.,247.7
2001. august 1.,248.51
2001. august 2.,248.45
2001. august 3.,248.69
2001. august 6.,247.15
2001. august 7.,246.94
2001. august 8.,247.14
2001. august 9.,247.27
2001. august 10.,247.04
2001. august 13.,246.62
2001. august 14.,247.07
2001. august 15.,250
2001. august 16.,257.39
2001. august 17.,256.29
2001. august 21.,257.01
2001. august 22.,257.67
2001. august 23.,253.73
2001. august 24.,251.38
2001. august 27.,253.61
2001. august 28.,253.52
2001. august 29.,254.08
2001. august 30.,252.3
2001. august 31.,253.55
2001. september 3.,252.04
2001. september 4.,251.86
2001. september 5.,251.84
2001. september 6.,252.43
2001. september 7.,252.95
2001. september 10.,253.19
2001. september 11.,251.93
2001. september 12.,256
2001. september 13.,255.03
2001. september 14.,255.33
2001. september 17.,258.47
2001. september 18.,256.71
2001. september 19.,258.12
2001. september 20.,258.83
2001. september 21.,258.15
2001. september 24.,260.88
2001. september 25.,260.55
2001. september 26.,257.9
2001. september 27.,257.52
2001. september 28.,257.75
2001. october 1.,257.15
2001. october 2.,258.12
2001. october 3.,257.53
2001. october 4.,257.25
2001. october 5.,256.5
2001. october 8.,259.34
2001. october 9.,257.42
2001. october 10.,256.32
2001. october 11.,254.8
2001. october 12.,255.06
2001. october 15.,255.33
2001. october 16.,254.47
2001. october 17.,254.15
2001. october 18.,254.69
2001. october 19.,253.42
2001. october 24.,252.23
2001. october 25.,251.95
2001. october 26.,254.04
2001. october 29.,253.97
2001. october 30.,255.64
2001. november 5.,253.92
2001. november 6.,252.48
2001. november 7.,251.42
2001. november 8.,250.45
2001. november 9.,250.43
2001. november 12.,250.33
2001. november 13.,249.79
2001. november 14.,249.41
2001. november 15.,249.83
2001. november 16.,251.78
2001. november 19.,250.63
2001. november 20.,249.66
2001. november 21.,250.15
2001. november 22.,252.29
2001. november 23.,252.26
2001. november 26.,251.89
2001. november 27.,251.39
2001. november 28.,251.44
2001. november 29.,250.62
2001. november 30.,251.63
2001. december 3.,250.47
2001. december 4.,249.38
2001. december 5.,249.08
2001. december 6.,248.97
2001. december 7.,249.18
2001. december 10.,250.61
2001. december 11.,249.65
2001. december 12.,246.94
2001. december 13.,247.18
2001. december 14.,246.18
2001. december 17.,246.13
2001. december 18.,245.06
2001. december 19.,246.16
2001. december 20.,246.75
2001. december 21.,246.45
2001. december 27.,245.48
2001. december 28.,246.33
2002. january 2.,244.75
2002. january 3.,245.1
2002. january 4.,244.78
2002. january 7.,243.58
2002. january 8.,244.09
2002. january 9.,244.16
2002. january 10.,243.64
2002. january 11.,245.55
2002. january 14.,243.88
2002. january 15.,244.05
2002. january 16.,243.75
2002. january 17.,243.27
2002. january 18.,243.66
2002. january 21.,243.74
2002. january 22.,243.4
2002. january 23.,243.29
2002. january 24.,243.6
2002. january 25.,244.33
2002. january 28.,244.27
2002. january 29.,242.92
2002. january 30.,243.7
2002. january 31.,243.49
2002. february 1.,242.51
2002. february 4.,243.86
2002. february 5.,244.21
2002. february 6.,244.01
2002. february 7.,245.23
2002. february 8.,243.92
2002. february 11.,243.34
2002. february 12.,243.93
2002. february 13.,242.93
2002. february 14.,243.18
2002. february 15.,240.62
2002. february 18.,241.22
2002. february 19.,242.33
2002. february 20.,243.98
2002. february 21.,243.31
2002. february 22.,243.45
2002. february 25.,243.73
2002. february 26.,243.97
2002. february 27.,245.31
2002. february 28.,245.84
2002. march 1.,246.03
2002. march 4.,244.93
2002. march 5.,244.41
2002. march 6.,243.86
2002. march 7.,244.49
2002. march 8.,246.55
2002. march 11.,244.95
2002. march 12.,244.84
2002. march 13.,245.35
2002. march 14.,245.78
2002. march 18.,245.11
2002. march 19.,245.35
2002. march 20.,245.02
2002. march 21.,244.23
2002. march 22.,244.01
2002. march 25.,243.86
2002. march 26.,244.45
2002. march 27.,243.98
2002. march 28.,243.55
2002. march 29.,243.5
2002. april 2.,243.6
2002. april 3.,242.87
2002. april 4.,242.12
2002. april 5.,243.41
2002. april 8.,243.57
2002. april 9.,243.4
2002. april 10.,242.56
2002. april 11.,242.08
2002. april 12.,241.77
2002. april 15.,241.85
2002. april 16.,241.5
2002. april 17.,242.4
2002. april 18.,242.4
2002. april 19.,242.17
2002. april 22.,241.65
2002. april 23.,240.59
2002. april 24.,240.65
2002. april 25.,242.02
2002. april 26.,243.76
2002. april 29.,242.84
2002. april 30.,243.48
2002. may 2.,243.15
2002. may 3.,244.08
2002. may 6.,243.93
2002. may 7.,244.26
2002. may 10.,243.95
2002. may 13.,244.3
2002. may 14.,244.42
2002. may 15.,244
2002. may 16.,244.65
2002. may 17.,244.64
2002. may 21.,245.46
2002. may 22.,242.59
2002. may 23.,242.5
2002. may 24.,242.33
2002. may 27.,242.61
2002. may 28.,243.05
2002. may 29.,243.55
2002. may 30.,243.68
2002. may 31.,243.27
2002. june 3.,242.11
2002. june 4.,242.29
2002. june 5.,242.11
2002. june 6.,241.05
2002. june 7.,241.67
2002. june 10.,241.5
2002. june 11.,240.89
2002. june 12.,241.32
2002. june 13.,241.08
2002. june 14.,241.62
2002. june 17.,242.76
2002. june 18.,243.17
2002. june 19.,243.86
2002. june 20.,243.34
2002. june 21.,243.68
2002. june 24.,244.88
2002. june 25.,243.32
2002. june 26.,244.25
2002. june 27.,244.23
2002. june 28.,244.67
2002. july 1.,244.43
2002. july 2.,243.83
2002. july 3.,245.3
2002. july 4.,246.56
2002. july 5.,250.25
2002. july 8.,250.43
2002. july 9.,252.38
2002. july 10.,252.09
2002. july 11.,249.61
2002. july 12.,247.16
2002. july 15.,246.29
2002. july 16.,247.21
2002. july 17.,245.95
2002. july 18.,245.36
2002. july 19.,245.68
2002. july 22.,245.35
2002. july 23.,244.44
2002. july 24.,246.25
2002. july 25.,244.73
2002. july 26.,245.24
2002. july 29.,244.79
2002. july 30.,244.25
2002. july 31.,245.05
2002. august 1.,244.93
2002. august 2.,246.31
2002. august 5.,244.9
2002. august 6.,244.09
2002. august 7.,244.01
2002. august 8.,244.43
2002. august 9.,244.4
2002. august 12.,244.48
2002. august 13.,244.9
2002. august 14.,245.24
2002. august 15.,245.37
2002. august 16.,245.77
2002. august 21.,245.14
2002. august 22.,244.98
2002. august 23.,244.72
2002. august 26.,245.27
2002. august 27.,245.87
2002. august 28.,246.08
2002. august 29.,245.82
2002. august 30.,245.34
2002. september 2.,244.55
2002. september 3.,245.04
2002. september 4.,245.57
2002. september 5.,245.28
2002. september 6.,244.75
2002. september 9.,244.2
2002. september 10.,243.49
2002. september 11.,243.15
2002. september 12.,243.59
2002. september 13.,243.78
2002. september 16.,243.77
2002. september 17.,243.23
2002. september 18.,243.75
2002. september 19.,243.55
2002. september 20.,243.19
2002. september 23.,243.38
2002. september 24.,243.22
2002. september 25.,243.92
2002. september 26.,243.59
2002. september 27.,243.21
2002. september 30.,243.28
2002. october 1.,243.57
2002. october 2.,243.62
2002. october 3.,243.65
2002. october 4.,243.93
2002. october 7.,244.14
2002. october 8.,245.16
2002. october 9.,245.94
2002. october 10.,245.18
2002. october 11.,244.9
2002. october 14.,245.02
2002. october 15.,245
2002. october 16.,244.78
2002. october 17.,245.75
2002. october 18.,245.32
2002. october 21.,243.02
2002. october 22.,241.98
2002. october 24.,241.6
2002. october 25.,241.3
2002. october 28.,241.35
2002. october 29.,241.51
2002. october 30.,241.26
2002. october 31.,241.49
2002. november 4.,241.56
2002. november 5.,241.05
2002. november 6.,239.86
2002. november 7.,238.78
2002. november 8.,239.25
2002. november 11.,238.35
2002. november 12.,238.62
2002. november 13.,238.83
2002. november 14.,238.19
2002. november 15.,237.4
2002. november 18.,237.2
2002. november 19.,236.53
2002. november 20.,237.45
2002. november 21.,237.8
2002. november 22.,237.1
2002. november 25.,236.95
2002. november 26.,236.12
2002. november 27.,236.65
2002. november 28.,237.37
2002. november 29.,237.48
2002. december 2.,237.08
2002. december 3.,237.5
2002. december 4.,237.29
2002. december 5.,236.51
2002. december 6.,236.55
2002. december 9.,236.74
2002. december 10.,236.32
2002. december 11.,236.35
2002. december 12.,235.82
2002. december 13.,235.63
2002. december 16.,235.8
2002. december 17.,235.37
2002. december 18.,235.17
2002. december 19.,235.49
2002. december 20.,235.85
2002. december 23.,235.68
2002. december 27.,235.65
2002. december 30.,235.93
2002. december 31.,235.9
2003. january 2.,235.74
2003. january 3.,235.19
2003. january 6.,235.44
2003. january 7.,235.39
2003. january 8.,235.27
2003. january 9.,235.16
2003. january 10.,235.01
2003. january 13.,234.95
2003. january 14.,234.9
2003. january 15.,234.74
2003. january 16.,234.69
2003. january 17.,243.72
2003. january 20.,244.38
2003. january 21.,246.4
2003. january 22.,247.85
2003. january 23.,248.39
2003. january 24.,246.85
2003. january 27.,245.42
2003. january 28.,244.62
2003. january 29.,242.42
2003. january 30.,243.21
2003. january 31.,243.93
2003. february 3.,243.83
2003. february 4.,244.09
2003. february 5.,245.16
2003. february 6.,245.26
2003. february 7.,246.58
2003. february 10.,245.9
2003. february 11.,245.02
2003. february 12.,245.05
2003. february 13.,244.29
2003. february 14.,245.16
2003. february 17.,245.58
2003. february 18.,246.05
2003. february 19.,246.36
2003. february 20.,246.65
2003. february 21.,246.36
2003. february 24.,245.58
2003. february 25.,244.31
2003. february 26.,244.19
2003. february 27.,243.14
2003. february 28.,243.33
2003. march 3.,244.58
2003. march 4.,245.19
2003. march 5.,245.2
2003. march 6.,245.23
2003. march 7.,245.25
2003. march 10.,245.6
2003. march 11.,245.43
2003. march 12.,245.18
2003. march 13.,245.22
2003. march 14.,244.63
2003. march 17.,244.94
2003. march 18.,244.86
2003. march 19.,245.37
2003. march 20.,246.33
2003. march 21.,246.3
2003. march 24.,246.25
2003. march 25.,246.39
2003. march 26.,246.5
2003. march 27.,246.29
2003. march 28.,246.88
2003. march 31.,246.84
2003. april 1.,247.45
2003. april 2.,247.43
2003. april 3.,246.1
2003. april 4.,245.89
2003. april 7.,244.85
2003. april 8.,244.64
2003. april 9.,244.33
2003. april 10.,244.21
2003. april 11.,244.93
2003. april 14.,245.35
2003. april 15.,245.29
2003. april 16.,245.41
2003. april 17.,245.78
2003. april 18.,245.49
2003. april 22.,246.19
2003. april 23.,245.65
2003. april 24.,245.93
2003. april 25.,245.68
2003. april 28.,245.46
2003. april 29.,245.54
2003. april 30.,245.82
2003. may 5.,245.18
2003. may 6.,245.05
2003. may 7.,245.15
2003. may 8.,244.71
2003. may 9.,245.32
2003. may 12.,245.21
2003. may 13.,244.63
2003. may 14.,244.86
2003. may 15.,244.8
2003. may 16.,245.13
2003. may 19.,245.2
2003. may 20.,245.05
2003. may 21.,246.25
2003. may 22.,245.79
2003. may 23.,246.24
2003. may 26.,245.92
2003. may 27.,245.8
2003. may 28.,246.11
2003. may 29.,252.27
2003. may 30.,249.38
2003. june 2.,249.83
2003. june 3.,253.85
2003. june 4.,256.41
2003. june 5.,268.59
2003. june 6.,262.35
2003. june 10.,264.2
2003. june 11.,257.93
2003. june 12.,257.99
2003. june 13.,259.1
2003. june 16.,259.62
2003. june 17.,263.55
2003. june 18.,263.73
2003. june 19.,263.18
2003. june 20.,263.6
2003. june 23.,259.9
2003. june 24.,260.61
2003. june 25.,259.83
2003. june 26.,262.94
2003. june 27.,268.55
2003. june 30.,266.3
2003. july 1.,264.3
2003. july 2.,263.02
2003. july 3.,264.32
2003. july 4.,264.72
2003. july 7.,263.33
2003. july 8.,262.33
2003. july 9.,262.71
2003. july 10.,262.35
2003. july 11.,262.01
2003. july 14.,261.11
2003. july 15.,260.7
2003. july 16.,262.81
2003. july 17.,264.19
2003. july 18.,266.3
2003. july 21.,266.59
2003. july 22.,266.31
2003. july 23.,268.9
2003. july 24.,267.12
2003. july 25.,264.42
2003. july 28.,264.85
2003. july 29.,263.01
2003. july 30.,263.03
2003. july 31.,264.41
2003. august 1.,264.15
2003. august 4.,263.53
2003. august 5.,262.2
2003. august 6.,262.71
2003. august 7.,261
2003. august 8.,259
2003. august 11.,258.79
2003. august 12.,259.13
2003. august 13.,258.57
2003. august 14.,260.85
2003. august 15.,260.65
2003. august 18.,260.45
2003. august 19.,260.38
2003. august 21.,258.82
2003. august 22.,257.74
2003. august 25.,256.74
2003. august 26.,256.76
2003. august 27.,257.54
2003. august 28.,256.65
2003. august 29.,257.16
2003. september 1.,257.22
2003. september 2.,257.69
2003. september 3.,256.74
2003. september 4.,256.13
2003. september 5.,255.76
2003. september 8.,256.42
2003. september 9.,255.76
2003. september 10.,256.45
2003. september 11.,256.27
2003. september 12.,255.15
2003. september 15.,255.25
2003. september 16.,254.69
2003. september 17.,254.95
2003. september 18.,256.7
2003. september 19.,255.35
2003. september 22.,255.12
2003. september 23.,254.74
2003. september 24.,253.65
2003. september 25.,253.95
2003. september 26.,254.7
2003. september 29.,253.92
2003. september 30.,254.61
2003. october 1.,253.96
2003. october 2.,253.41
2003. october 3.,253.68
2003. october 6.,253.55
2003. october 7.,253.85
2003. october 8.,254.07
2003. october 9.,253.47
2003. october 10.,253.66
2003. october 13.,255.38
2003. october 14.,255.44
2003. october 15.,256.32
2003. october 16.,256.81
2003. october 17.,257.06
2003. october 20.,256.62
2003. october 21.,255.97
2003. october 22.,256.17
2003. october 27.,257.87
2003. october 28.,256.38
2003. october 29.,255.83
2003. october 30.,256.17
2003. october 31.,259.13
2003. november 3.,262.07
2003. november 4.,260.42
2003. november 5.,259.1
2003. november 6.,258.62
2003. november 7.,257.36
2003. november 10.,257.05
2003. november 11.,257.8
2003. november 12.,258.88
2003. november 13.,258.92
2003. november 14.,258.07
